Q_pred,OID_,POINT_X_x,POINT_Y_x
-1.0,5205,-73.11027587,5.778463334
-1.0,5206,-73.1102193,5.7784146
-1.0,5207,-73.1101329,5.778435233
-1.0,5208,-73.1100465,5.778455866
-1.0,5209,-73.1099601,5.7784765
-1.0,5210,-73.1137221,5.7807277
-1.0,5211,-73.11377396,5.780792216
-1.0,5212,-73.11382582,5.780856733
-1.0,5213,-73.11387767,5.78092125
-1.0,5214,-73.11392953,5.780985766
-1.0,5215,-73.11398139,5.781050283
-1.0,5216,-73.11403325,5.7811148
-1.0,5217,-73.11408511,5.781179317
-1.0,5218,-73.11413697,5.781243833
-1.0,5219,-73.11418882,5.78130835
-1.0,5220,-73.11424068,5.781372867
1.0,5221,-73.11429254,5.781437383
-1.0,5222,-73.1143444,5.7815019
-1.0,5223,-73.11437984,5.7815825
-1.0,5224,-73.11441528,5.7816631
-1.0,5225,-73.11445072,5.7817437
-1.0,5226,-73.11448615,5.7818243
-1.0,5227,-73.11452159,5.7819049
-1.0,5228,-73.11455703,5.7819855
-1.0,5229,-73.11459247,5.7820661
-1.0,5230,-73.11462791,5.7821467
-1.0,5231,-73.11466335,5.7822273
-1.0,5232,-73.11469879,5.7823079
-1.0,5233,-73.11473422,5.7823885
-1.0,5234,-73.11476966,5.7824691
-1.0,5235,-73.1148051,5.7825497
-1.0,5236,-73.1148632,5.782617525
-1.0,5237,-73.1149213,5.78268535
-1.0,5238,-73.1149794,5.782753175
-1.0,5239,-73.1150375,5.782821
-1.0,5240,-73.1151049,5.7828637
-1.0,5241,-73.1151723,5.7829064
-1.0,5242,-73.1152397,5.782949101
-1.0,5243,-73.1153071,5.7829918
-1.0,5244,-73.1153745,5.7830345
-1.0,5245,-73.1154419,5.7830772
-1.0,5246,-73.11552614,5.78309636
-1.0,5247,-73.11561038,5.78311552
-1.0,5248,-73.11569462,5.78313468
-1.0,5249,-73.11577886,5.78315384
-1.0,5250,-73.1158631,5.783173
-1.0,5251,-73.11594186,5.783184275
-1.0,5252,-73.11602062,5.78319555
-1.0,5253,-73.11609939,5.783206825
-1.0,5254,-73.11617815,5.7832181
1.0,5255,-73.11625691,5.783229375
1.0,5256,-73.11633567,5.78324065
-1.0,5257,-73.11641444,5.783251925
-1.0,5258,-73.1164932,5.7832632
-1.0,5259,-73.1099018,5.7787873
-1.0,5260,-73.10986875,5.7788695
-1.0,5261,-73.1098357,5.7789517
-1.0,5262,-73.1098357,5.7789517
-1.0,5263,-73.10990303,5.7789402
-1.0,5264,-73.10997037,5.778928699
-1.0,5265,-73.1100377,5.7789172
1.0,5266,-73.110389,5.7785608
1.0,5267,-73.11043875,5.7784916
-1.0,5268,-73.1104885,5.7784224
-1.0,5269,-73.11053825,5.7783532
-1.0,5270,-73.110588,5.778284
-1.0,5271,-73.112286,5.7733703
-1.0,5272,-73.1122807,5.77341605
-1.0,5273,-73.1122754,5.7734618
-1.0,5274,-73.11226395,5.773540825
-1.0,5275,-73.1122525,5.77361985
-1.0,5276,-73.11224105,5.773698875
-1.0,5277,-73.1122296,5.7737779
-1.0,5278,-73.11221815,5.773856925
1.0,5279,-73.1122067,5.77393595
-1.0,5280,-73.11219525,5.774014975
-1.0,5281,-73.1121838,5.774094
-1.0,5282,-73.11217095,5.7741658
-1.0,5283,-73.1121581,5.7742376
-1.0,5284,-73.11214297,5.774323751
-1.0,5285,-73.11212785,5.7744099
-1.0,5286,-73.11211272,5.774496051
-1.0,5287,-73.1120976,5.7745822
-1.0,5288,-73.1341756,5.7765898
-1.0,5289,-73.13409284,5.776622567
-1.0,5290,-73.13401008,5.776655334
-1.0,5291,-73.13392732,5.7766881
-1.0,5292,-73.13384457,5.776720866
-1.0,5293,-73.13376181,5.776753633
-1.0,5294,-73.13367905,5.7767864
-1.0,5295,-73.13359629,5.776819167
-1.0,5296,-73.13351353,5.776851934
-1.0,5297,-73.13343077,5.7768847
-1.0,5298,-73.13334802,5.776917466
-1.0,5299,-73.13326526,5.776950233
-1.0,5300,-73.1331825,5.776983
-1.0,5301,-73.13309974,5.777015767
-1.0,5302,-73.13301698,5.777048534
-1.0,5303,-73.13293423,5.7770813
-1.0,5304,-73.13285147,5.777114066
-1.0,5305,-73.13276871,5.777146833
-1.0,5306,-73.13268595,5.7771796
-1.0,5307,-73.13260319,5.777212367
-1.0,5308,-73.13252043,5.777245133
-1.0,5309,-73.13243768,5.7772779
-1.0,5310,-73.13235492,5.777310666
1.0,5311,-73.13227216,5.777343433
-1.0,5312,-73.1321894,5.7773762
-1.0,5313,-73.13210315,5.77740079
1.0,5314,-73.13201689,5.777425379
1.0,5315,-73.13193063,5.777449969
1.0,5316,-73.13184438,5.777474559
1.0,5317,-73.13175812,5.777499149
-1.0,5318,-73.13167187,5.777523739
1.0,5319,-73.13158561,5.777548328
1.0,5320,-73.13149936,5.777572918
1.0,5321,-73.1314131,5.777597508
-1.0,5322,-73.13132685,5.777622098
-1.0,5323,-73.13124059,5.777646688
-1.0,5324,-73.13115434,5.777671277
-1.0,5325,-73.13106808,5.777695867
-1.0,5326,-73.13098183,5.777720457
-1.0,5327,-73.13089557,5.777745047
-1.0,5328,-73.13080932,5.777769636
-1.0,5329,-73.13072306,5.777794226
-1.0,5330,-73.13063681,5.777818816
-1.0,5331,-73.13055055,5.777843406
-1.0,5332,-73.1304643,5.777867996
-1.0,5333,-73.13037804,5.777892585
-1.0,5334,-73.13029179,5.777917175
1.0,5335,-73.13020553,5.777941765
1.0,5336,-73.13011928,5.777966355
1.0,5337,-73.13003302,5.777990945
-1.0,5338,-73.12994677,5.778015534
-1.0,5339,-73.12986051,5.778040124
-1.0,5340,-73.12977426,5.778064714
-1.0,5341,-73.129688,5.778089304
-1.0,5342,-73.12960175,5.778113894
-1.0,5343,-73.12951549,5.778138483
-1.0,5344,-73.12942924,5.778163073
-1.0,5345,-73.12934298,5.778187663
-1.0,5346,-73.12925673,5.778212253
1.0,5347,-73.12917047,5.778236843
1.0,5348,-73.12908422,5.778261432
1.0,5349,-73.12899796,5.778286022
1.0,5350,-73.12891171,5.778310612
1.0,5351,-73.12882545,5.778335202
-1.0,5352,-73.1287392,5.778359792
-1.0,5353,-73.12865294,5.778384381
1.0,5354,-73.12856669,5.778408971
-1.0,5355,-73.12848043,5.778433561
-1.0,5356,-73.12839417,5.778458151
-1.0,5357,-73.12830792,5.778482741
-1.0,5358,-73.12822167,5.77850733
-1.0,5359,-73.12813541,5.77853192
-1.0,5360,-73.12804915,5.77855651
-1.0,5361,-73.1279629,5.7785811
-1.0,5362,-73.1278841,5.7786114
-1.0,5363,-73.126334,5.7797087
-1.0,5364,-73.12637835,5.77964655
-1.0,5365,-73.1264227,5.7795844
-1.0,5366,-73.12646705,5.77952225
-1.0,5367,-73.1265114,5.7794601
-1.0,5368,-73.12656693,5.779414267
-1.0,5369,-73.12662247,5.779368433
-1.0,5370,-73.126678,5.7793226
-1.0,5371,-73.12674982,5.77927614
-1.0,5372,-73.12682164,5.77922968
-1.0,5373,-73.12689346,5.77918322
1.0,5374,-73.12696528,5.77913676
1.0,5375,-73.1270371,5.7790903
-1.0,5376,-73.12708815,5.7790581
-1.0,5377,-73.1271392,5.7790259
-1.0,5378,-73.12721831,5.778998355
1.0,5379,-73.12729742,5.778970809
-1.0,5380,-73.12737653,5.778943264
1.0,5381,-73.12745564,5.778915719
-1.0,5382,-73.12753474,5.778888173
-1.0,5383,-73.12761385,5.778860627
-1.0,5384,-73.12769296,5.778833082
-1.0,5385,-73.12777207,5.778805536
-1.0,5386,-73.12785118,5.778777991
-1.0,5387,-73.12793029,5.778750446
-1.0,5388,-73.1280094,5.7787229
-1.0,5389,-73.12809404,5.778698984
-1.0,5390,-73.12817868,5.778675067
-1.0,5391,-73.12826331,5.778651151
-1.0,5392,-73.12834795,5.778627234
-1.0,5393,-73.12843259,5.778603317
-1.0,5394,-73.12851723,5.7785794
-1.0,5395,-73.12860187,5.778555483
-1.0,5396,-73.1286865,5.778531567
-1.0,5397,-73.12877114,5.77850765
-1.0,5398,-73.12885578,5.778483734
1.0,5399,-73.12894042,5.778459817
-1.0,5400,-73.12902506,5.778435901
-1.0,5401,-73.1291097,5.778411983
-1.0,5402,-73.12919433,5.778388067
-1.0,5403,-73.12927897,5.77836415
-1.0,5404,-73.12936361,5.778340233
-1.0,5405,-73.12944825,5.778316317
-1.0,5406,-73.12953289,5.7782924
-1.0,5407,-73.12961752,5.778268484
-1.0,5408,-73.12970216,5.778244567
-1.0,5409,-73.1297868,5.778220651
-1.0,5410,-73.12987144,5.778196733
-1.0,5411,-73.12995608,5.778172817
-1.0,5412,-73.13004071,5.7781489
-1.0,5413,-73.13012535,5.778124983
-1.0,5414,-73.13020999,5.778101067
-1.0,5415,-73.13029463,5.77807715
1.0,5416,-73.13037927,5.778053234
-1.0,5417,-73.1304639,5.778029317
1.0,5418,-73.13054854,5.7780054
1.0,5419,-73.13063318,5.777981483
-1.0,5420,-73.13071782,5.777957566
-1.0,5421,-73.13080246,5.77793365
-1.0,5422,-73.13088709,5.777909733
1.0,5423,-73.13097173,5.777885817
1.0,5424,-73.13105637,5.7778619
-1.0,5425,-73.13114101,5.777837984
-1.0,5426,-73.13122565,5.777814066
-1.0,5427,-73.13131029,5.77779015
-1.0,5428,-73.13139492,5.777766233
-1.0,5429,-73.13147956,5.777742316
-1.0,5430,-73.1315642,5.7777184
-1.0,5431,-73.13163953,5.777697143
-1.0,5432,-73.13171486,5.777675885
1.0,5433,-73.13179019,5.777654628
-1.0,5434,-73.13186551,5.777633372
-1.0,5435,-73.13194084,5.777612114
-1.0,5436,-73.13201617,5.777590857
-1.0,5437,-73.1320915,5.7775696
-1.0,5438,-73.13217287,5.777545543
-1.0,5439,-73.13225424,5.777521485
-1.0,5440,-73.13233561,5.777497428
-1.0,5441,-73.13241699,5.777473371
-1.0,5442,-73.13249836,5.777449315
-1.0,5443,-73.13257973,5.777425257
1.0,5444,-73.1326611,5.7774012
-1.0,5445,-73.13274402,5.777367195
-1.0,5446,-73.13282694,5.77733319
1.0,5447,-73.13290986,5.777299185
-1.0,5448,-73.13299278,5.77726518
-1.0,5449,-73.1330757,5.777231175
-1.0,5450,-73.13315862,5.77719717
-1.0,5451,-73.13324154,5.777163165
-1.0,5452,-73.13332446,5.77712916
-1.0,5453,-73.13340738,5.777095155
-1.0,5454,-73.1334903,5.77706115
1.0,5455,-73.13357322,5.777027145
-1.0,5456,-73.13365614,5.77699314
-1.0,5457,-73.13373906,5.776959136
-1.0,5458,-73.13382198,5.77692513
-1.0,5459,-73.1339049,5.776891125
-1.0,5460,-73.13398782,5.77685712
-1.0,5461,-73.13407074,5.776823115
-1.0,5462,-73.13415366,5.776789111
-1.0,5463,-73.13423658,5.776755105
-1.0,5464,-73.1343195,5.7767211
1.0,5465,-73.1261896,5.779314
1.0,5466,-73.12611664,5.779349221
1.0,5467,-73.12604368,5.779384441
1.0,5468,-73.12597072,5.77941966
-1.0,5469,-73.12589776,5.77945488
1.0,5470,-73.1258248,5.7794901
-1.0,5471,-73.1181989,5.7781558
-1.0,5472,-73.11820824,5.778076156
-1.0,5473,-73.11821759,5.777996514
-1.0,5474,-73.11822693,5.777916871
-1.0,5475,-73.11823627,5.777837228
-1.0,5476,-73.11824561,5.777757585
-1.0,5477,-73.11825496,5.777677943
-1.0,5478,-73.1182643,5.7775983
-1.0,5479,-73.11827339,5.777516489
-1.0,5480,-73.11828248,5.777434677
-1.0,5481,-73.11829157,5.777352867
-1.0,5482,-73.11830066,5.777271056
-1.0,5483,-73.11830974,5.777189244
-1.0,5484,-73.11831883,5.777107433
-1.0,5485,-73.11832792,5.777025622
-1.0,5486,-73.11833701,5.776943811
-1.0,5487,-73.1183461,5.776862
-1.0,5488,-73.11835213,5.776783512
-1.0,5489,-73.11835815,5.776705025
-1.0,5490,-73.11836417,5.776626537
-1.0,5491,-73.1183702,5.77654805
-1.0,5492,-73.11837623,5.776469563
-1.0,5493,-73.11838225,5.776391075
-1.0,5494,-73.11838827,5.776312588
-1.0,5495,-73.1183943,5.7762341
-1.0,5496,-73.1177706,5.7854029
-1.0,5497,-73.1177222,5.785381001
-1.0,5498,-73.1176738,5.7853591
